,start_station_name,start_station_id,min_started_at,max_started_at,min_ended_at,max_ended_at
18,S Four Mile Run Dr & Shirlington Rd,31057.0,2022-12-10 13:00:14,2023-06-30 20:09:25,2022-12-10 13:09:29,2023-06-30 20:58:53
19,Four Mile Run Dr & S Shirlington Rd,31057.0,2021-01-02 14:44:32,2022-12-09 11:10:48,2021-01-02 15:20:11,2022-12-09 11:30:49
20,Columbia Pike & S Oakland St,31058.0,2021-01-01 03:52:54,2022-05-02 18:45:18,2021-01-01 04:18:50,2022-05-02 18:58:49
21,Columbia Pike & Monroe St,31058.0,2022-05-02 19:20:22,2023-06-30 20:55:46,2022-05-02 19:45:44,2023-06-30 21:16:03
22,S Four Mile Run Dr & Walter Reed Dr,31059.0,2022-12-09 15:49:36,2023-06-30 21:46:20,2022-12-09 15:54:39,2023-06-30 22:11:20
23,Four Mile Run Dr & S Walter Reed Dr,31059.0,2021-01-02 14:10:14,2022-12-09 15:24:13,2021-01-02 14:18:38,2022-12-09 15:51:35
24,Kenmore St & 24th St S,31061.0,2021-01-09 11:11:00,2022-12-09 14:54:29,2021-01-09 11:29:08,2022-12-09 14:58:37
25,S Kenmore St & 24th St S,31061.0,2022-12-09 23:41:34,2023-06-30 22:46:29,2022-12-09 23:59:15,2023-06-30 23:04:44
26,S George Mason Dr & S Four Mile Run Dr,31063.0,2022-12-10 10:38:01,2023-06-30 16:09:26,2022-12-10 11:24:35,2023-06-30 16:16:53
27,S George Mason & Four Mile Run Dr,31063.0,2021-01-02 14:12:06,2022-12-08 16:27:14,2021-01-02 14:30:43,2022-12-08 16:36:27
28,N Pershing Dr & N Wayne St,31065.0,2022-12-09 18:09:42,2023-06-30 20:37:36,2022-12-09 18:18:57,2023-06-30 20:37:44
29,Pershing Dr & Wayne St,31065.0,2021-01-02 07:18:03,2022-12-08 12:01:07,2021-01-02 07:23:25,2022-12-08 12:06:50
30,N Pershing Dr & N George Mason Dr,31069.0,2022-12-10 10:01:45,2023-06-30 19:01:07,2022-12-10 10:06:05,2023-06-30 19:11:32
31,Pershing Dr & N George Mason Dr,31069.0,2021-01-02 14:32:43,2022-12-09 10:01:14,2021-01-02 14:41:08,2022-12-09 10:06:13
32,Shirlington Transit Center / Quincy St & Randolph St,31076.0,2021-01-16 06:37:32,2021-08-14 13:05:40,2021-01-16 06:46:02,2021-08-14 13:15:28
33,S Randolph St & Campbell Ave,31076.0,2021-08-17 17:14:32,2023-06-30 22:58:28,2021-08-17 17:20:46,2023-06-30 23:05:59
34,Lee Hwy & N Cleveland St,31079.0,2021-01-02 08:26:45,2021-07-22 10:23:37,2021-01-02 08:44:47,2021-07-22 13:36:30
35,Langston Blvd & N Cleveland St,31079.0,2021-07-22 11:37:24,2023-06-30 13:24:00,2021-07-22 11:46:27,2023-06-30 13:29:17
36,Langston Blvd & N Scott St,31080.0,2021-07-22 12:34:59,2023-06-30 19:03:15,2021-07-22 12:46:04,2023-06-30 19:24:22
37,Lee Hwy & N Scott St,31080.0,2021-01-02 14:34:21,2021-07-22 10:32:45,2021-01-02 14:41:42,2021-07-22 10:50:17
38,Lee Hwy & N Monroe St,31092.0,2021-01-02 11:23:11,2021-07-22 08:32:34,2021-01-02 11:34:36,2021-07-22 08:40:32
39,Langston Blvd & N Monroe St,31092.0,2021-07-22 12:39:21,2023-06-30 19:13:42,2021-07-22 12:54:48,2023-06-30 19:54:29
40,Langston Blvd & N Kirkwood Rd,31094.0,2022-09-21 09:25:26,2023-06-30 19:06:56,2022-09-21 11:22:21,2023-06-30 19:33:21
41,Langston Blvd & N Kirkwood St,31094.0,2021-07-22 16:35:53,2022-09-21 09:47:24,2021-07-22 16:52:24,2022-09-21 09:58:13
42,Lee Hwy & N Kirkwood Rd,31094.0,2021-01-01 14:36:59,2021-07-18 18:05:18,2021-01-01 14:51:28,2021-07-18 18:18:41
43,15th & Harvard St NW,31103.0,2021-03-14 14:19:18,2022-01-18 18:03:20,2021-03-14 14:44:52,2022-01-18 18:15:34
44,16th & Harvard St NW,31103.0,2021-01-01 06:52:40,2023-06-30 22:10:11,2021-01-01 06:55:51,2023-06-30 22:19:56
45,7th & T St NW,31109.0,2021-01-01 10:35:14,2023-01-18 11:41:07,2021-01-01 10:40:10,2023-01-18 11:47:57
46,7th St & Florida Ave NW,31109.0,2023-01-19 19:15:24,2023-06-30 23:49:24,2023-01-19 19:23:31,2023-06-30 23:59:04
47,15th & Euclid St NW,31117.0,2021-08-09 14:36:36,2023-06-30 23:37:26,2021-08-09 14:41:23,2023-06-30 23:49:06
48,15th & Euclid St  NW,31117.0,2021-01-01 06:14:33,2021-08-09 13:30:33,2021-01-01 06:21:35,2021-08-09 13:49:52
49,10th & Florida Ave NW,31120.0,2021-01-01 00:47:51,2022-08-18 16:20:24,2021-01-01 01:00:14,2022-08-18 16:24:08
50,10th St & Florida Ave NW,31120.0,2022-08-18 16:31:42,2023-06-30 23:54:10,2022-08-18 16:38:44,2023-07-01 00:02:18
51,14th St & Rhode Island Ave NW,31203.0,2023-04-28 16:43:35,2023-06-30 23:47:28,2023-04-28 16:54:11,2023-07-01 00:43:55
52,14th & Rhode Island Ave NW,31203.0,2021-01-01 01:46:05,2023-04-28 13:54:14,2021-01-01 01:49:14,2023-04-28 14:04:04
53,Georgia Ave and Fairmont St NW,31207.0,2021-01-02 10:08:26,2022-02-21 21:44:02,2021-01-02 10:17:29,2022-02-21 21:59:08
54,Georgia Ave & Fairmont St NW,31207.0,2022-02-22 15:36:25,2023-06-30 23:04:17,2022-02-22 16:15:46,2023-06-30 23:39:54
55,1st & N St SE,31209.0,2021-08-09 16:18:00,2023-06-30 23:20:41,2021-08-09 16:19:23,2023-06-30 23:31:41
56,1st & N St  SE,31209.0,2021-01-01 08:27:30,2021-08-08 23:46:01,2021-01-01 08:45:39,2021-08-09 00:06:28
57,19th & K St NW,31253.0,2021-01-02 14:51:32,2023-03-01 09:19:22,2021-01-02 14:58:09,2023-03-01 09:25:00
58,19th & I St NW,31253.0,2023-02-27 18:19:37,2023-06-30 23:09:04,2023-02-27 18:50:50,2023-06-30 23:17:42
59,Virginia Ave & C St NW,31261.0,2022-09-25 14:43:07,2023-06-30 21:31:39,2022-09-25 16:16:06,2023-06-30 21:34:31
60,21st St & Constitution Ave NW,31261.0,2021-01-01 09:38:10,2022-09-26 18:06:13,2021-01-01 09:49:45,2022-09-26 18:43:07
61,31st & Water St NW,31293.0,2021-01-02 11:53:47,2021-04-12 18:29:24,2021-01-02 12:14:19,2021-04-12 18:43:33
62,Thomas Jefferson St NW & Water/K St NW,31293.0,2021-04-02 16:15:43,2023-06-30 23:00:54,2021-04-02 16:45:40,2023-06-30 23:11:41
63,Connecticut Ave & Newark St NW / Cleveland Park,31305.0,2021-01-01 00:28:39,2022-03-03 22:05:34,2021-01-01 00:41:31,2022-03-03 22:12:20
64,Connecticut Ave & Macomb St NW / Cleveland Park,31305.0,2022-03-02 10:14:18,2023-06-30 22:10:55,2022-03-02 10:24:24,2023-06-30 22:31:53
65,Arizona Ave & MacArthur Blvd NW,31331.0,2021-10-20 17:42:25,2023-06-30 12:29:06,2021-10-20 18:06:32,2023-06-30 13:26:59
66,Arizona & McArthur NW,31331.0,2021-10-07 21:10:40,2021-10-19 12:43:38,2021-10-07 21:29:23,2021-10-19 13:34:35
67,11th & V St NW,31332.0,2022-09-29 12:18:14,2023-06-30 23:00:02,2022-09-29 12:31:23,2023-06-30 23:06:36
68,11th & V st NW,31332.0,2021-10-07 15:44:57,2022-09-29 09:38:59,2021-10-07 15:53:11,2022-09-29 09:48:38
69,14th St & Luzon Ave NW,31416.0,2022-09-02 15:12:49,2023-06-30 19:30:01,2022-09-02 15:32:00,2023-06-30 19:46:39
70,14th & Luzon St NW,31416.0,2021-01-01 10:57:04,2022-09-01 19:04:53,2021-01-01 11:23:19,2022-09-01 19:09:15
71,10th St & Rhode Island Ave NE,31535.0,2022-08-18 17:05:02,2023-06-30 23:48:48,2022-08-18 17:40:35,2023-06-30 23:51:17
72,10th & Rhode Island Ave NE,31535.0,2022-08-18 15:31:24,2022-08-18 15:31:24,2022-08-18 15:46:29,2022-08-18 15:46:29
73,M St & Delaware Ave NE,31627.0,2023-05-07 14:27:25,2023-06-30 23:00:52,2023-05-07 17:30:38,2023-07-06 12:23:02
74,3rd & M St NE,31627.0,2021-01-01 01:00:29,2023-05-11 08:51:35,2021-01-01 01:09:00,2023-05-11 09:08:13
75,1st & I St SE,31628.0,2022-05-24 17:03:30,2023-06-30 23:06:05,2022-05-24 17:28:51,2023-06-30 23:41:44
76,1st & K St SE,31628.0,2021-01-01 10:56:49,2022-05-24 16:56:30,2021-01-01 11:05:29,2022-05-24 17:30:02
77,4th St & K St NW,31642.0,2021-01-01 01:08:13,2022-03-23 09:09:53,2021-01-01 01:22:36,2022-03-23 09:16:06
78,New Jersey Ave & K St NW,31642.0,2022-03-23 09:45:58,2023-06-30 21:55:50,2022-03-23 09:59:14,2023-06-30 22:01:09
79,4th St & G St SW,31666.0,2021-01-01 09:28:59,2022-06-06 13:18:26,2021-01-01 09:44:59,2022-06-06 13:25:18
80,4th & G St SW,31666.0,2022-06-04 09:29:16,2023-06-30 19:52:26,2022-06-04 09:41:41,2023-06-30 20:14:32
81,3rd & M St SE,31669.0,2022-06-30 11:10:11,2023-06-30 20:26:51,2022-06-30 11:22:21,2023-06-30 21:24:27
82,3rd & M st SE,31669.0,2021-01-05 18:03:05,2022-06-30 15:14:19,2021-01-05 18:15:45,2022-06-30 15:20:43
83,Kenilworth Terr & Hayes St. NE,31717.0,2022-09-03 12:24:03,2023-06-28 16:24:01,2022-09-03 12:32:12,2023-06-28 16:45:00
84,Kenilworth Terrace & Hayes St. NE,31717.0,2021-01-01 22:26:01,2022-09-02 08:24:59,2021-01-01 22:41:50,2022-09-02 08:52:23
85,Anacostia Roller Skating Pavillion,31720.0,2021-02-23 09:25:00,2022-09-02 10:57:07,2021-02-23 09:50:11,2022-09-02 12:03:28
86,Anacostia Roller Skating Pavilion,31720.0,2022-08-06 17:06:53,2023-06-30 16:15:18,2022-08-18 11:39:18,2023-06-30 16:39:45
87,Lee Hwy & N Woodstock St,31900.0,2021-01-02 14:54:42,2021-07-21 16:33:11,2021-01-02 15:04:18,2021-07-21 16:48:13
88,Langston Blvd & N Woodstock St,31900.0,2021-07-22 12:46:24,2023-06-30 23:14:44,2021-07-22 12:52:54,2023-06-30 23:36:45
89,Radford St & Osage St,31908.0,2021-01-03 10:53:07,2023-05-01 08:13:14,2021-01-03 11:19:13,2023-05-01 08:35:32
90,Kenwood Ave & Osage St,31908.0,2023-05-02 17:02:12,2023-06-30 19:46:20,2023-05-02 17:17:01,2023-06-30 19:58:49
91,Columbia Pike & George Mason Dr,31923.0,2021-08-06 19:07:05,2022-12-09 08:09:29,2021-08-09 23:08:30,2022-12-09 08:25:00
92,Columbia Pike & S Taylor St,31923.0,2021-01-02 08:42:36,2021-08-12 19:36:02,2021-01-02 10:28:12,2021-08-12 19:51:41
93,Columbia Pike & S George Mason Dr,31923.0,2022-12-09 16:36:14,2023-06-30 22:02:13,2022-12-09 16:46:55,2023-06-30 22:16:11
94,Wilson Blvd & N Vermont St,31926.0,2022-12-10 00:50:11,2023-06-30 16:42:18,2022-12-10 00:58:31,2023-06-30 16:48:13
95,Wilson Blvd. & N. Vermont St.,31926.0,2021-01-01 00:15:45,2022-12-09 13:10:11,2021-01-01 00:21:20,2022-12-09 13:15:44
96,St. Asaph & Montgomery St,31931.0,2021-01-02 13:07:30,2021-01-24 15:53:40,2021-01-02 13:13:56,2021-01-24 15:56:33
97,N Pitt St & Montgomery St,31931.0,2021-01-29 17:50:06,2023-06-30 14:34:08,2021-01-29 18:04:41,2023-06-30 14:42:18
98,Army Navy Dr & Fern St,31936.0,2022-12-09 18:04:23,2023-06-30 18:15:53,2022-12-09 18:18:14,2023-06-30 18:23:21
99,Fern St & Army Navy Dr,31936.0,2021-01-03 11:49:00,2022-12-07 17:44:11,2021-01-03 15:21:21,2022-12-07 17:57:19
100,Ft Myer Dr & Arlington Blvd,31937.0,2021-01-01 13:29:37,2021-01-19 13:08:31,2021-01-02 09:45:41,2021-01-19 13:35:29
101,Arlington Blvd & Ft Myer Dr,31937.0,2021-01-22 04:45:32,2023-06-30 19:00:04,2021-01-22 04:50:14,2023-06-30 19:05:53
102,Rosslyn Metro / Wilson Blvd & N Moore St,31947.0,2021-05-08 13:20:41,2023-06-30 20:18:47,2021-05-08 13:49:21,2023-06-30 20:20:21
103,N Moore St & Rosslyn Metro,31947.0,2021-05-06 22:58:53,2021-05-06 22:58:53,2021-05-07 00:06:35,2021-05-07 00:06:35
104,W&OD Trail bridge & N Washington St,31948.0,2021-09-29 09:13:00,2021-09-29 09:34:05,2021-09-29 09:33:43,2021-09-29 09:47:08
105,W&OD Trail & Langston Blvd,31948.0,2021-10-01 16:11:04,2023-06-30 22:39:33,2021-10-01 16:31:25,2023-06-30 22:46:36
106,Long Bridge Aquatic ctr,31950.0,2021-08-12 14:32:41,2021-09-16 07:32:59,2021-08-12 14:42:58,2021-09-16 07:37:58
107,Long Bridge Aquatic Center,31950.0,2021-09-17 06:42:50,2023-06-30 21:38:29,2021-09-17 06:48:43,2023-06-30 21:57:21
108,Reed & Edison,31956.0,2022-05-15 12:37:05,2023-06-29 22:15:02,2022-05-15 12:51:03,2023-06-29 22:27:38
109,Reed and Edison,31956.0,2021-12-03 18:19:55,2022-05-08 15:38:48,2021-12-03 18:37:59,2022-05-08 15:43:42
110,First and Fayette,31970.0,2022-03-18 07:43:33,2022-03-28 09:22:44,2022-03-18 08:15:16,2022-03-28 11:11:36
111,First St & Fayette St,31970.0,2022-03-30 09:18:40,2023-06-30 22:08:01,2022-03-30 10:37:54,2023-06-30 22:23:02
112,S Wakefield St & 28th Rd S,31972.0,2022-05-10 19:18:40,2022-12-07 16:59:51,2022-05-10 19:42:32,2022-12-07 17:04:35
113,S Wakefield St & 28th St S,31972.0,2022-12-10 12:12:43,2023-06-29 07:44:14,2022-12-10 12:40:44,2023-06-29 07:48:21
114,N Pershing Dr & N Quebec St,31973.0,2022-12-10 08:04:17,2023-06-30 13:27:26,2022-12-10 08:11:44,2023-06-30 13:48:36
115,N Pershing Dr & Quebec St,31973.0,2022-05-28 12:00:05,2022-12-09 08:35:11,2022-05-28 12:15:12,2022-12-09 08:39:47
116,Fairfax Dr & N Taylor St,31974.0,2022-07-26 16:59:34,2023-06-30 16:18:24,2022-07-26 17:01:08,2023-06-30 16:23:05
117,Mandeville Ln & Stovall St,31974.0,2022-09-08 16:53:49,2023-06-30 16:11:07,2022-09-08 17:11:22,2023-06-30 16:28:05
118,White Flint Metro,32075.0,2021-01-04 09:02:32,2022-09-13 09:15:20,2021-01-04 09:10:57,2022-09-13 09:23:13
119,North Bethesda Metro,32075.0,2022-09-13 17:20:35,2023-06-30 16:53:16,2022-09-13 19:19:44,2023-06-30 16:55:33
120,Tysons Metro South,32203.0,2023-03-08 13:23:49,2023-06-30 16:35:46,2023-03-08 13:28:16,2023-06-30 17:40:03
121,Tysons One Pl & Chain Bridge Rd,32203.0,2021-01-01 11:47:54,2023-03-02 13:57:37,2021-01-01 11:59:38,2023-03-02 14:01:55
122,Tysons Metro North,32204.0,2023-03-06 18:36:18,2023-06-30 19:18:08,2023-03-06 18:41:42,2023-06-30 20:00:43
123,Tysons Corner Station,32204.0,2021-01-20 13:43:23,2023-03-05 23:26:39,2021-01-20 13:47:12,2023-03-05 23:30:35
124,Reston Regional Library,32211.0,2021-01-10 14:18:15,2023-01-16 10:23:04,2021-01-10 14:19:27,2023-01-16 10:23:22
125,Greensboro Metro East,32211.0,2023-01-31 08:18:29,2023-06-28 19:34:42,2023-01-31 08:18:31,2023-06-28 19:45:58
126,W&OD Trail/Sunset Hills Rd & Old Reston Ave,32213.0,2023-03-06 16:07:08,2023-06-30 16:51:56,2023-03-06 17:50:16,2023-06-30 16:59:18
127,Sunset Hills & Old Reston Ave,32213.0,2021-01-02 13:19:18,2023-03-06 15:56:22,2021-01-02 13:27:16,2023-03-06 16:06:09
128,Reston Town Center Transit Station,32214.0,2021-01-02 11:33:11,2023-03-05 09:05:42,2021-01-02 11:41:59,2023-03-05 09:09:34
129,W&OD Trail & Explorer St/Reston Bus Station,32214.0,2023-03-06 18:45:42,2023-06-30 19:52:25,2023-03-06 19:04:09,2023-06-30 20:02:34
130,Wiehle-Reston Metro South,32215.0,2022-09-30 21:23:46,2023-06-29 12:36:25,2022-09-30 21:30:09,2023-06-29 12:36:25
131,Wiehle Ave & Reston Station Blvd,32215.0,2021-01-07 12:53:54,2022-09-29 17:54:32,2021-01-07 12:57:13,2022-09-29 18:01:42
132,W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,32220.0,2023-03-06 12:58:01,2023-06-30 21:56:17,2023-03-06 13:41:06,2023-06-30 22:01:41
133,Sunset Hills Rd & Isaac Newton Square,32220.0,2021-01-02 12:00:19,2023-03-05 16:55:53,2021-01-02 12:35:47,2023-03-05 18:34:20
134,Reston Town Center Metro North,32243.0,2022-11-01 16:29:00,2023-06-30 23:09:01,2022-11-01 16:44:09,2023-06-30 23:25:20
135,Fairway Dr & Hook Rd,32243.0,2021-07-16 19:05:54,2022-10-23 14:34:34,2021-07-16 19:05:59,2022-10-23 14:47:50
136,Founders Row/W Broad St & West St,32600.0,2022-12-02 16:27:58,2023-06-30 13:40:57,2022-12-02 16:46:26,2023-06-30 13:46:47
137,George Mason High School / Haycock Rd & Leesburg Pike,32600.0,2021-01-02 11:03:01,2021-07-22 18:22:21,2021-01-02 14:50:46,2021-07-22 18:30:14
138,Meridian High School / Haycock Rd & Leesburg Pike,32600.0,2021-07-27 15:45:59,2022-12-01 06:16:33,2021-07-27 15:52:29,2022-12-01 06:20:54
139,Eden Center,32601.0,2022-06-15 17:52:57,2023-06-30 14:17:12,2022-06-15 17:59:48,2023-06-30 14:21:27
140,State Theatre / Park Pl & N Washington St,32601.0,2021-01-05 12:17:52,2022-06-13 14:30:33,2021-01-05 12:41:48,2022-06-13 14:59:22
