,end_station_name,end_station_id
66877,Arlington Blvd & Ft Myer Dr,31937.0
1934,Arlington Blvd & N Queen St,31051.0
19707,Arlington Blvd & S George Mason Dr,31078.0
8280,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,31068.0
7270621,Arlington National Cemetery,31978.0
6118106,Army Navy Dr & Fern St,31936.0
1860,Army Navy Dr & S Joyce St,31006.0
2081,Army Navy Dr & S Nash St,31095.0
1896,Aurora Hills Cmty Ctr / 18th St & S Hayes St,31004.0
4292,Ballenger Ave & Dulaney St,31084.0
294,Ballston Metro / Stuart St & 9th St N,31037.0
8129,Baltimore Ave & Jefferson St,32403.0
5009,Baltimore Ave & Van Buren St / Riverdale Park Station,32402.0
3205,Barcroft Community Center,31033.0
1213155,Baron Cameron Ave & North Hampton Ave,32237.0
2456,Barton St & 10th St N,31050.0
397,Battery Ln & Trolley Trail,32027.0
1891954,Becontree Ln & Goldenrain Ct,32239.0
3937,Benning Branch Library,31705.0
655,Benning Rd & East Capitol St NE / Benning Rd Metro,31707.0
1440,Bethesda Ave & Arlington Rd,32002.0
21453,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,32048.0
824,Bladensburg Rd & Benning Rd NE,31617.0
33286,Blueridge Ave & Elkin St,32073.0
1114,Braddock Rd Metro,31047.0
2844125,Braddock Rd Metro North,31047.0
2866428,Braddock Rd Metro South,31969.0
16473,Branch & Pennsylvania Ave SE,31701.0
12110,Briggs Chaney & Castle Dr,32086.0
2290,Briggs Chaney Park & Ride,32088.0
4188,Broad Branch Rd & Northampton St NW,31422.0
187,C & O Canal & Wisconsin Ave NW,31225.0
599,California St & Florida Ave NW,31116.0
143,Calvert & Biltmore St NW,31106.0
66,Calvert St & Woodley Pl NW,31121.0
18564,Campus Commons,32228.0
209,Capitol Ave & Kendall St NE,31530.0
4860,Capitol Heights Metro,32419.0
136,Carlin Springs Rd & N Thomas St,31919.0
644,Carroll & Ethan Allen Ave,32026.0
3407,Carroll & Westmoreland Ave,32025.0
25778,Castle Blvd & Castle Ln,32092.0
1473,Central Library / Quincy St & 10th St N,31025.0
537,Chillum Rd & Riggs Rd / Riggs Plaza,32416.0
3247,Citadel Ave & McGrath Blvd,32076.0
546,Clarendon Blvd & N Fillmore St,31021.0
155,Clarendon Blvd & Pierce St,31016.0
115,Clarendon Metro / Wilson Blvd & N Highland St,31022.0
14622,Clark St & 26th St S,31012.0
245,Columbia & Ontario Rd NW,31296.0
1461945,Columbia Pike & George Mason Dr,31923.0
3617203,Columbia Pike & Monroe St,31058.0
1107,Columbia Pike & S Courthouse Rd,31053.0
6118673,Columbia Pike & S George Mason Dr,31923.0
294736,Columbia Pike & S Greenbrier St,31945.0
549,Columbia Pike & S Oakland St,31058.0
1804,Columbia Pike & S Orme St,31066.0
1422085,Columbia Pike & S Scott St/12th St S,31949.0
1126,Columbia Pike & S Taylor St,31923.0
1460,Columbia Pike & S Walter Reed Dr,31067.0
59,Columbia Rd & Belmont St NW,31113.0
568,Columbia Rd & Georgia Ave NW,31115.0
3219,Columbus Ave & Gramercy Blvd,32069.0
394957,Columbus Ave & Tribeca St,32068.0
16,Columbus Circle / Union Station,31623.0
785,Commerce St & Fayette St,31045.0
4910,Commonwealth Ave & E Monroe Ave,31913.0
2305,Commonwealth Ave & Oak St,31906.0
2625040,Commonwealth and Reed,31960.0
152,Congress Heights Metro,31806.0
17779,Congressional Ln & E Jefferson St,32081.0
52,Connecticut & Nebraska Ave NW,31310.0
1093,Connecticut Ave & Chevy Chase Lake Dr,32051.0
3015780,Connecticut Ave & Macomb St NW / Cleveland Park,31305.0
317,Connecticut Ave & McKinley St NW,31315.0
14,Connecticut Ave & Newark St NW / Cleveland Park,31305.0
212,Connecticut Ave & R St NW,31299.0
1665,Connecticut Ave & Tilden St NW,31313.0
4245,Connecticut Ave & Yuma St NW,31318.0
743,Constitution Ave & 2nd St NW/DOL,31271.0
322,Convention Center / 7th & M St NW,31223.0
10214,Cordell & Norfolk Ave,32008.0
193246,Corporate Blvd & Omega Dr,32071.0
3190,Court House Metro / 15th St & N Uhle St,31089.0
942113,Crescent Rd & Ridge Rd,32425.0
597,Crystal City Metro / 18th St & S Bell St,31007.0
346,Crystal Dr & 15th St S,31003.0
459,Crystal Dr & 20th St S,31002.0
666,Crystal Dr & 23rd St S,31011.0
12906,Crystal Dr & 27th St S,31009.0
3061,Crystal Dr & Potomac Ave,31925.0
376,D St & Maryland Ave NE,31612.0
15012,Deanwood Rec Center,31711.0
54969,Dennis Ave & Amherst Ave,32022.0
7014214,District Ave & Strawberry Ln/Mosaic Market Garage,32262.0
2564,Division Ave & Foote St NE,31713.0
4728,Duke St & John Carlyle St,31081.0
2928250,Duke St & Jordan St,31966.0
1852,Duke St & Strand (Robinson Terminal),31933.0
4165,Dunn Loring Metro,32231.0
9694,E Fairfax St & S Washington St,32604.0
14827,E Montgomery Ave & Maryland Ave,32007.0
217,Eads St & 12th St S,31071.0
709,Eads St & 15th St S,31000.0
250,Eads St & 22nd St S,31013.0
8037,East Falls Church Metro / Sycamore St & 19th St N,31904.0
800,East West Hwy & 16th St,32056.0
3086,East West Hwy & Blair Mill Rd,32019.0
711,Eastern Market / 7th & North Carolina Ave SE,31610.0
850,Eastern Market Metro / Pennsylvania Ave & 8th St SE,31613.0
201,Eckington Pl & Q St NE,31505.0
4131664,Eden Center,32601.0
1067,Edgewood Rec Center,31529.0
10313,Eisenhower Ave & Ike Dr,31930.0
3477,Eisenhower Ave & Mill Race Ln,31082.0
8061418,Emma Lee St & Morris St,32266.0
8773,Executive Blvd & E Jefferson St,32079.0
329,Fairfax Dr & N Randolph St,31034.0
4633374,Fairfax Dr & N Taylor St,31974.0
4698788,Fairfax Dr & N Taylor St,31049.0
74,Fairfax Dr & Wilson Blvd,31023.0
49387,Fairfax Village,31706.0
1255230,Fairway Dr & Hook Rd,32243.0
3694,Falls Church City Hall / Park Ave & Little Falls St,32608.0
40143,Fallsgrove Blvd & Fallsgrove Dr,32004.0
44646,Fallsgrove Dr & W Montgomery Ave,32016.0
722,Fenton St & Ellsworth Dr ,32036.0
1156,Fenton St & Gist Ave,32024.0
3355,Fenton St & New York Ave ,32001.0
4758,Fern St & Army Navy Dr,31936.0
233,Fessenden St & Wisconsin Ave NW,31309.0
2673187,Fillmore & Bisdorf,31961.0
3243600,First St & Fayette St,31970.0
3137146,First and Fayette,31970.0
51301,Fishers Ln & Rock Creek Mill Rd,32080.0
2251,Fleet St & Ritchie Pkwy,32032.0
1627,Fleet St & Waterfront St,32406.0
83,Florida Ave & R St NW,31503.0
6148716,Fort Lincoln Dr & 33rd Pl NE,31537.0
29040,Fort Stanton Rec Center,31825.0
